row#,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long
3469,32315,12,NULL,2,392,1371,NULL,NULL,41424.71,NULL,0,0,41424.63958,12.986284,77.735245,13.000418,77.674835
4344,34894,12,1,3,836,NULL,NULL,NULL,41451.38,NULL,0,0,41451.32917,12.90944,77.57295,NULL,NULL
1391,26169,12,NULL,2,722,1036,NULL,NULL,41339.78,NULL,0,0,41339.75556,12.91567,77.55465,12.925568,77.580568
6843,40039,12,NULL,2,1281,1237,15,NULL,41528.69,41528.75007,0,0,41519.59444,12.934634,77.611283,12.92645,77.61206
5037,31995,12,NULL,2,776,393,NULL,NULL,41471.75,41471.80008,1,0,41471.53889,13.01508,77.67796,13.19956,77.70688
9381,23473,65,4,3,625,NULL,15,NULL,41602.01,41602.42708,1,0,41601.92222,12.95431,77.6553,NULL,NULL
8820,41605,12,NULL,2,1017,1021,15,NULL,41579.79,41579.80005,1,0,41578.88333,13.11084,77.60074,13.02853,77.54625
84,16934,12,2,3,293,NULL,NULL,NULL,41279.65,NULL,0,0,41279.60972,12.849482,77.663187,NULL,NULL
559,23696,65,NULL,2,1045,1205,NULL,NULL,41300.63,NULL,0,0,41300.41736,12.940238,77.589161,13.01899,77.54744
8313,45626,12,NULL,2,393,492,15,NULL,41566.53,41566.61403,0,0,41566.37361,13.19956,77.70688,12.851218,77.521664
8408,45160,23,NULL,2,92,393,15,NULL,41570.31,41570.38931,0,0,41569.38819,12.99569,77.6835,13.19956,77.70688
7704,43866,12,3,3,1095,NULL,NULL,NULL,41547.28,41547.57292,0,1,41546.57708,12.92415,77.67229,NULL,NULL
218,22695,12,NULL,2,450,393,NULL,NULL,41286.25,NULL,0,0,41285.54306,12.9334,77.62652,13.19956,77.70688
5905,30290,12,NULL,2,1254,1054,15,NULL,41499.71,41499.7363,0,0,41496.78681,12.934048,77.580568,12.90184,77.581587
7906,44413,12,NULL,2,273,212,15,NULL,41552.85,41552.90611,1,0,41552.79167,13.00775,77.67357,12.99474,77.60797
4328,34846,12,2,3,1390,NULL,NULL,NULL,41450.52,NULL,0,0,41450.49236,12.969368,77.641302,NULL,NULL
7372,43012,12,2,3,1246,NULL,NULL,NULL,41537.42,41537.79167,0,0,41535.41875,12.95158,77.57833,NULL,NULL
4533,35352,85,1,3,293,NULL,NULL,NULL,41457.4,41457.60417,0,0,41456.95556,12.849482,77.663187,NULL,NULL
9599,35443,12,NULL,2,1341,393,NULL,NULL,41472.17,41472.21145,1,0,41457.95486,12.979703,77.69382,13.19956,77.70688
4122,34265,12,NULL,2,1384,142,NULL,NULL,41445.65,NULL,1,0,41443.06319,13.02853,77.54625,12.91281,77.60923
5421,34777,12,NULL,2,516,585,15,NULL,41483.5,41483.54635,1,0,41482.86806,13.0056,77.65799,12.97677,77.5727
7581,28824,85,NULL,2,1147,789,15,NULL,41550.29,41550.31631,0,0,41543.53194,13.03064,77.6491,12.9634,77.60343
9180,38080,12,NULL,2,25,293,15,NULL,41595.64,41595.68381,0,1,41593.05972,12.98059,77.57475,12.849482,77.663187
2477,21050,85,NULL,2,822,1017,NULL,NULL,41390.92,NULL,0,0,41390.86667,13.01024,77.58056,13.11084,77.60074
4013,33944,24,NULL,2,393,293,NULL,NULL,41439.77,NULL,1,0,41439.60556,13.19956,77.70688,12.849482,77.663187
1989,23782,12,1,3,392,NULL,NULL,NULL,41369.73,NULL,0,0,41369.53403,12.986284,77.735245,NULL,NULL
2379,25400,12,NULL,2,1371,344,NULL,NULL,41388.15,NULL,1,0,41386.87639,13.000418,77.674835,12.94788,77.67092
3362,32017,12,NULL,2,953,585,NULL,NULL,41421.8,NULL,1,0,41421.63542,12.90536,77.54309,12.97677,77.5727
9807,20225,12,NULL,2,450,1263,NULL,NULL,41307.8,NULL,0,0,41307.74931,12.9334,77.62652,12.96897,77.59456
4540,35380,12,2,3,585,NULL,NULL,NULL,41458.46,41458.83333,0,0,41457.50972,12.97677,77.5727,NULL,NULL
5679,35329,12,NULL,2,516,393,15,NULL,41490.18,41490.21814,1,0,41489.72153,13.0056,77.65799,13.19956,77.70688
774,24278,24,NULL,2,156,393,NULL,NULL,41308.69,NULL,0,0,41308.56042,13.02622,77.70143,13.19956,77.70688
5702,38420,12,NULL,2,1324,529,15,NULL,41490.68,41490.71931,0,0,41490.61181,12.832201,77.678208,12.93615,77.61322
2539,74,12,NULL,2,667,271,NULL,NULL,41393.29,NULL,0,0,41392.89444,12.97165,77.51316,12.95641,77.64076
9571,32444,12,NULL,2,393,692,NULL,NULL,41430.23,41431,1,0,41425.69722,13.19956,77.70688,12.97137,77.58692
169,4734,85,NULL,2,1147,393,NULL,NULL,41283.5,NULL,0,0,41283.32847,13.03064,77.6491,13.19956,77.70688
5076,35281,12,NULL,2,1101,1365,NULL,NULL,41473.31,41473.35076,1,0,41472.89514,12.93652,77.54481,12.845653,77.677925
6442,40512,12,NULL,2,625,571,15,NULL,41513.45,41513.46784,0,0,41510.33056,12.95431,77.6553,12.95185,77.69642
786,26525,12,1,3,363,NULL,NULL,NULL,41309.63,41310,1,0,41309.51389,12.99287,77.71662,NULL,NULL
486,23483,12,NULL,2,540,1365,NULL,NULL,41297.39,NULL,0,0,41297.32986,12.92768,77.62664,12.845653,77.677925
6697,29275,12,NULL,2,768,433,15,NULL,41523.34,41523.39309,0,0,41516.72569,12.98999,77.55332,12.91226,77.59773
590,23785,12,NULL,2,171,849,NULL,NULL,41301.83,NULL,0,0,41301.46528,12.98479,77.66128,12.95434,77.60072
5188,37111,12,NULL,2,1135,393,NULL,NULL,41476.21,41476.24944,1,0,41475.6875,13.00775,77.67357,13.19956,77.70688
1492,24503,12,NULL,2,1323,393,NULL,NULL,41345.17,41346,1,0,41344.875,12.869805,77.653211,13.19956,77.70688
8240,45443,65,NULL,2,1384,293,15,NULL,41563.83,41563.93644,0,0,41563.55417,13.02853,77.54625,12.849482,77.663187
6203,39859,12,NULL,2,963,667,15,NULL,41503.81,41503.87017,0,0,41503.73333,12.99111,77.59204,12.97165,77.51316
1370,16599,12,NULL,2,393,269,NULL,NULL,41338.56,NULL,0,0,41338.55347,13.19956,77.70688,12.9744,77.69183
6660,16746,12,NULL,2,182,393,15,NULL,41516.73,41516.8324,1,0,41516.34792,12.94574,77.64928,13.19956,77.70688
8478,46063,12,NULL,2,83,393,15,NULL,41572.54,41572.58381,1,0,41571.54931,12.92415,77.67229,13.19956,77.70688
1753,27093,12,NULL,2,1365,1281,NULL,NULL,41359.2,NULL,0,0,41358.91944,12.845653,77.677925,12.934634,77.611283
8254,29648,12,6,3,1330,NULL,NULL,NULL,41564.39,41564.55208,0,0,41564.01944,12.953434,77.70651,NULL,NULL
9531,46982,12,NULL,2,571,572,15,NULL,41579.8,41579.84954,1,0,41579.74097,12.95185,77.69642,12.91873,77.61494
295,22930,87,NULL,1,105,NULL,15,32,41289.08,41290.08333,0,0,41288.76181,13.01766,77.64503,NULL,NULL
350,21531,12,NULL,2,105,1384,NULL,NULL,41292.84,NULL,0,0,41291.85069,13.01766,77.64503,13.02853,77.54625
327,22939,12,NULL,2,1082,238,NULL,NULL,41291.31,NULL,0,0,41290.8875,12.870924,77.575879,12.93711,77.60171
5840,38826,12,NULL,2,1301,585,15,NULL,41495.75,41495.80692,0,0,41494.86458,12.937222,77.626915,12.97677,77.5727
6605,33245,12,NULL,2,571,585,15,NULL,41515.86,41515.93458,1,0,41514.9,12.95185,77.69642,12.97677,77.5727
2508,29448,12,NULL,2,1373,1222,NULL,NULL,41392.36,NULL,0,0,41391.98889,13.037255,77.58166,13.012419,77.555151
5473,37929,12,NULL,2,601,393,15,NULL,41485.17,41485.21109,0,0,41484.86389,13.02434,77.56593,13.19956,77.70688
8776,41512,12,NULL,2,1070,934,15,NULL,41603.71,41603.7427,0,0,41578.50903,12.926098,77.681121,12.92323,77.59203
4462,35178,12,NULL,2,1038,1068,NULL,NULL,41454.68,41454.69513,0,0,41454.64514,12.981266,77.637162,13.044009,77.606805
9849,29045,12,NULL,2,571,393,NULL,NULL,41390.15,NULL,1,0,41386.95208,12.95185,77.69642,13.19956,77.70688
2507,29446,12,NULL,2,1063,393,NULL,NULL,41393.08,NULL,0,0,41391.9875,12.934477,77.611284,13.19956,77.70688
6141,39692,89,NULL,2,1189,1033,15,NULL,41502.7,41502.72214,1,0,41502.63611,12.91873,77.61494,12.906358,77.599547
4980,36547,12,NULL,2,471,1147,NULL,NULL,41469.58,41469.6222,0,0,41469.51528,13.01854,77.63524,13.03064,77.6491
2494,29421,87,1,3,1173,NULL,NULL,NULL,41391.81,NULL,0,0,41391.67778,12.959979,77.647998,NULL,NULL
3184,35152,65,NULL,2,142,585,NULL,NULL,41415.73,NULL,0,0,41415.61944,12.91281,77.60923,12.97677,77.5727
6783,41188,12,NULL,2,1097,410,15,NULL,41518.42,41518.469,1,0,41517.80347,12.97943,77.66125,13.05121,77.54113
2039,22758,12,1,3,1147,NULL,NULL,NULL,41372.35,41372,1,0,41372.24792,13.03064,77.6491,NULL,NULL
4979,40231,12,1,3,171,NULL,NULL,NULL,41469.61,41469.82292,0,1,41469.51111,12.98479,77.66128,NULL,NULL
9927,1105,12,NULL,2,767,344,NULL,NULL,41443.46,NULL,1,0,41443.38403,12.9122,77.51043,12.94788,77.67092
7087,42168,12,NULL,2,61,293,15,NULL,41526.74,41526.78736,1,0,41526.67847,12.96298,77.71229,12.849482,77.663187
6854,41359,12,NULL,2,243,1096,15,NULL,41520.25,41520.32582,0,1,41519.90208,13.24373,77.70915,12.96519,77.71932
2103,13103,12,NULL,2,458,1370,NULL,NULL,41375.89,NULL,0,0,41375.42222,13.00037,77.72746,12.995756,77.761764
983,24969,12,NULL,1,264,NULL,15,32,41320.38,41320.375,0,0,41319.6375,12.90721,77.69544,NULL,NULL
3225,23775,28,NULL,2,1192,731,NULL,NULL,41417.29,NULL,0,0,41416.86389,12.97677,77.5727,13.04937,77.51179
8977,47489,90,NULL,2,149,393,15,NULL,41586.46,41586.47057,0,0,41585.77222,12.93022,77.56039,13.19956,77.70688
9215,48162,89,NULL,2,1061,393,15,NULL,41595.23,41595.28334,1,0,41594.60903,12.924878,77.566255,13.19956,77.70688
3244,19344,87,2,3,542,NULL,NULL,NULL,41418.35,41418,1,0,41417.59444,12.93823,77.62289,NULL,NULL
6898,31626,12,NULL,2,1017,168,15,NULL,41521.67,41521.68958,0,0,41521.47847,13.11084,77.60074,12.99313,77.59828
343,23088,28,1,3,585,NULL,NULL,NULL,41291.77,NULL,0,0,41291.57292,12.97677,77.5727,NULL,NULL
1223,7133,24,NULL,2,393,142,NULL,NULL,41330.92,NULL,0,0,41330.40694,13.19956,77.70688,12.91281,77.60923
6993,35582,12,NULL,2,458,393,15,NULL,41524.33,41524.42528,1,0,41523.83056,13.00037,77.72746,13.19956,77.70688
670,24015,12,NULL,2,61,392,NULL,NULL,41313.29,NULL,0,0,41304.79931,12.96298,77.71229,12.986284,77.735245
9532,28911,86,NULL,2,1032,448,NULL,NULL,41385.52,NULL,0,0,41385.40417,12.913301,77.685592,12.92732,77.63575
9912,42459,12,NULL,2,1063,1192,15,NULL,41529.94,41529.9624,0,0,41529.89861,12.934477,77.611284,12.97677,77.5727
9762,26568,12,NULL,2,1330,97,NULL,NULL,41372.35,NULL,0,0,41372.30625,12.953434,77.70651,12.97943,77.66125
888,24661,12,NULL,2,1017,58,NULL,NULL,41314.68,NULL,0,0,41314.55556,13.11084,77.60074,12.88963,77.60119
4565,35458,12,NULL,2,516,393,NULL,NULL,41458.46,41458.52137,0,0,41458.33264,13.0056,77.65799,13.19956,77.70688
1409,868,12,NULL,2,293,451,NULL,NULL,41340.82,NULL,0,0,41340.78681,12.849482,77.663187,12.9739,77.57914
207,22682,12,NULL,2,293,393,NULL,NULL,41285.42,NULL,1,0,41285.35,12.849482,77.663187,13.19956,77.70688
5790,32789,12,NULL,2,1390,1054,15,NULL,41493.61,41493.77858,0,0,41493.60347,12.969368,77.641302,12.90184,77.581587
5948,2961,12,NULL,1,182,NULL,15,32,41498.42,41498.99931,1,0,41497.77014,12.94574,77.64928,NULL,NULL
2515,29469,12,1,3,541,NULL,NULL,NULL,41392.5,NULL,0,0,41392.45972,12.93524,77.61997,NULL,NULL
9031,47263,12,4,3,1312,NULL,15,NULL,41588.13,41588.54167,0,1,41587.80069,12.839879,77.658145,NULL,NULL
248,22780,65,NULL,2,542,585,NULL,NULL,41286.75,NULL,0,0,41286.70556,12.93823,77.62289,12.97677,77.5727
8057,44845,24,NULL,2,1010,393,15,NULL,41558.14,41558.18964,0,0,41557.81875,12.96691,77.74935,13.19956,77.70688
3112,31234,12,NULL,2,1095,585,NULL,NULL,41412.76,NULL,1,0,41412.68125,12.92415,77.67229,12.97677,77.5727
4386,35015,12,NULL,2,1056,393,NULL,NULL,41453.27,NULL,0,0,41452.73472,12.919199,77.60931,13.19956,77.70688
196,22645,24,NULL,2,1390,393,NULL,NULL,41284.76,NULL,0,0,41284.70139,12.969368,77.641302,13.19956,77.70688
